Age,Gender,City_Tier,Occupation,Income,Shopping_Frequency,Last_Purchase,Categories,Purchase_Influence,Browsing_Time,Cart_Abandonment,Habit_Type,Pre_Purchase_Action,Decision_Style,Mood,Mood_Impact,Emotional_Frequency,Impulse_Behavior,Stress_Purchases,Happy_Purchases,Shopping_Time,Shopping_Situations,Product_Combinations,Hesitation,Tradeoff,Priority,Value_Perception,Post_Purchase_Feeling,Privacy_Comfort,Data_Concern,AI_Trust,Monthly_Spend,Willingness_To_Spend_More,Interest_in_MoodCart
35-44,Male,Tier 1,Other,<20k,Monthly,This Week,Snacks|Home Decor|Wellness,Brand,15-30,Never,Habitual,Buy Immediately,Mixed,Neutral,Sometimes,Never,Sometimes,Fashion|Wellness,Fashion,Late Night,Salary,Books+Coffee,Delivery Issues,Delivery,Personalization,Recommendation,Happy,Very Comfortable,Irrelevant Recommendations,Low,2880,Yes,Maybe
45+,Male,Tier 1,Homemaker,<20k,Rarely,This Week,Electronics|Home Decor,Reviews,<5,Sometimes,Habitual,Check Reviews,Mixed,Sad,Yes,Very Often,Never,Fashion|Snacks|Home Decor,Snacks,Afternoon,Salary,Snacks+Beverages|Books+Coffee,Delivery Issues,Delivery,Delivery,Recommendation,Regretful,Not Comfortable,Misuse,Medium,927,Maybe,No
Under 18,Female,Tier 1,Other,20k-50k,Monthly,Today,Wellness|Fashion,Price,30+,Never,Rare,Compare Prices,Emotional,Neutral,Sometimes,Very Often,Often,Electronics|Snacks|Home Decor,Wellness,Late Night,Stress,Clothing+Accessories|Snacks+Beverages|Gadgets+Accessories,Low Trust,Quality,Price,Recommendation,Neutral,Not Comfortable,Privacy,Low,6057,Maybe,No
25-34,Female,Tier 3,Student,50k-1L,Daily,This Month,Home Decor|Fashion,Brand,<5,Often,Somewhat Planned,Modify Cart,Mixed,Bored,No,Rarely,Sometimes,Fashion|Electronics,Electronics,Morning,Sales|Weekends|Salary,Books+Coffee|Gadgets+Accessories|Clothing+Accessories,High Price,Brand,Personalization,Recommendation,Guilty,Somewhat Comfortable,Privacy,Low,9705,Maybe,No
18-24,Female,Tier 3,Student,<20k,Weekly,>1 Month,Wellness|Electronics,Brand,30+,Sometimes,Mostly Planned,Buy Immediately,Emotional,Happy,Yes,Rarely,Sometimes,Fashion,Electronics,Morning,Sales,Books+Coffee|Gadgets+Accessories|Snacks+Beverages,Low Trust,Price,Personalization,Discount,Neutral,Somewhat Comfortable,No Concerns,Low,2103,Yes,Yes
18-24,Female,Tier 2,Other,>1L,Daily,Today,Fashion|Snacks|Wellness,Reviews,<5,Never,Somewhat Planned,Buy Immediately,Logical,Sad,Yes,Never,Rarely,Electronics,Home Decor,Late Night,Salary|Festivals,Candles+Oils|Snacks+Beverages,Low Trust,Price,Price,Recommendation,Neutral,Somewhat Comfortable,No Concerns,High,6519,Maybe,Maybe
35-44,Male,Tier 2,Working Professional,>1L,Daily,This Month,Wellness,Price,5-15,Rarely,Mostly Planned,Check Reviews,Logical,Bored,Yes,Never,Sometimes,Snacks,Electronics,Late Night,Festivals,Candles+Oils|Gadgets+Accessories,High Price,Brand,Personalization,Discount,Neutral,Not Comfortable,Privacy,High,14874,Yes,Yes
35-44,Female,Tier 1,Student,50k-1L,Daily,Today,Electronics|Fashion,Reviews,5-15,Sometimes,Mostly Planned,Buy Immediately,Emotional,Happy,Yes,Never,Often,Snacks|Home Decor,Home Decor,Late Night,Sales|Festivals|Weekends,Candles+Oils|Books+Coffee|Gadgets+Accessories,High Price,Price,Brand,Emotional Satisfaction,Neutral,Somewhat Comfortable,Irrelevant Recommendations,Medium,14273,Yes,Yes
35-44,Prefer not to say,Tier 2,Other,>1L,Daily,>1 Month,Home Decor|Wellness|Snacks,Discounts,15-30,Never,Habitual,Buy Immediately,Emotional,Sad,Sometimes,Very Often,Sometimes,Wellness,Snacks,Late Night,Weekends,Books+Coffee,Just Browsing,Price,Personalization,Emotional Satisfaction,Neutral,Very Comfortable,No Concerns,Low,15935,No,Maybe
25-34,Female,Tier 1,Working Professional,50k-1L,Monthly,This Week,Snacks|Electronics,Reviews,<5,Never,Habitual,Compare Prices,Mixed,Neutral,Yes,Sometimes,Rarely,Wellness|Electronics,Wellness,Late Night,Sales,Clothing+Accessories|Snacks+Beverages,High Price,Brand,Personalization,Recommendation,Happy,Somewhat Comfortable,No Concerns,Medium,8295,Maybe,Yes
45+,Female,Tier 2,Student,>1L,Weekly,This Week,Snacks|Wellness|Home Decor,Brand,30+,Often,Habitual,Buy Immediately,Emotional,Sad,Yes,Very Often,Rarely,Fashion|Electronics,Home Decor,Late Night,Festivals|Stress,Snacks+Beverages|Candles+Oils|Books+Coffee,Low Trust,Brand,Personalization,Quality,Guilty,Somewhat Comfortable,Misuse,Low,6872,No,Maybe
45+,Male,Tier 1,Student,50k-1L,Weekly,>1 Month,Electronics|Fashion,Price,30+,Often,Habitual,Compare Prices,Emotional,Neutral,No,Rarely,Rarely,Home Decor|Electronics,Snacks,Morning,Festivals|Sales,Snacks+Beverages,Just Browsing,Brand,Personalization,Emotional Satisfaction,Happy,Somewhat Comfortable,Misuse,Medium,11444,Yes,No
18-24,Female,Tier 3,Homemaker,20k-50k,Rarely,This Month,Wellness|Home Decor,Reviews,15-30,Sometimes,Rare,Compare Prices,Emotional,Neutral,Yes,Never,Never,Wellness|Electronics|Fashion,Fashion,Morning,Weekends|Sales|Salary,Snacks+Beverages|Books+Coffee,Low Trust,Brand,Price,Discount,Regretful,Not Comfortable,Irrelevant Recommendations,High,12738,Maybe,Yes
18-24,Female,Tier 1,Working Professional,50k-1L,Daily,This Month,Wellness|Snacks,Recommendations,5-15,Often,Mostly Planned,Compare Prices,Emotional,Neutral,Sometimes,Never,Sometimes,Fashion,Wellness,Late Night,Stress|Festivals|Salary,Snacks+Beverages,Low Trust,Brand,Delivery,Discount,Regretful,Very Comfortable,Irrelevant Recommendations,High,8066,Yes,No
25-34,Male,Tier 1,Other,<20k,Monthly,>1 Month,Snacks,Discounts,5-15,Rarely,Rare,Buy Immediately,Mixed,Stressed,No,Very Often,Often,Electronics|Wellness|Snacks,Electronics,Morning,Stress|Salary|Festivals,Snacks+Beverages,Delivery Issues,Personalization,Price,Emotional Satisfaction,Regretful,Very Comfortable,Misuse,Medium,3431,Maybe,Yes
35-44,Male,Tier 1,Other,>1L,Weekly,Today,Home Decor|Wellness,Brand,5-15,Sometimes,Habitual,Compare Prices,Emotional,Bored,No,Very Often,Often,Fashion|Wellness,Electronics,Morning,Festivals|Sales|Weekends,Books+Coffee|Snacks+Beverages|Gadgets+Accessories,High Price,Personalization,Brand,Recommendation,Guilty,Not Comfortable,Irrelevant Recommendations,High,27997,Yes,No
18-24,Male,Tier 3,Student,50k-1L,Daily,>1 Month,Home Decor|Wellness,Price,15-30,Never,Habitual,Compare Prices,Emotional,Neutral,Sometimes,Never,Often,Electronics,Home Decor,Evening,Salary,Clothing+Accessories|Gadgets+Accessories,Just Browsing,Quality,Brand,Discount,Guilty,Not Comfortable,Irrelevant Recommendations,High,7030,Maybe,No
35-44,Male,Tier 1,Homemaker,>1L,Weekly,>1 Month,Fashion|Home Decor,Discounts,5-15,Never,Rare,Compare Prices,Emotional,Sad,Sometimes,Sometimes,Rarely,Electronics,Wellness,Morning,Stress,Gadgets+Accessories,Delivery Issues,Personalization,Personalization,Quality,Neutral,Very Comfortable,Misuse,Medium,22424,No,No
45+,Prefer not to say,Tier 2,Student,20k-50k,Rarely,This Month,Fashion,Brand,<5,Sometimes,Mostly Planned,Compare Prices,Logical,Bored,Sometimes,Very Often,Often,Home Decor|Snacks,Wellness,Evening,Stress|Salary|Weekends,Snacks+Beverages,Just Browsing,Brand,Price,Discount,Regretful,Somewhat Comfortable,Irrelevant Recommendations,High,4905,Yes,Yes
18-24,Prefer not to say,Tier 1,Working Professional,20k-50k,Weekly,This Week,Snacks|Home Decor,Brand,15-30,Sometimes,Rare,Compare Prices,Logical,Sad,No,Sometimes,Rarely,Home Decor,Wellness,Late Night,Sales|Weekends|Stress,Clothing+Accessories|Gadgets+Accessories|Books+Coffee,Just Browsing,Personalization,Delivery,Emotional Satisfaction,Neutral,Not Comfortable,Misuse,Medium,1953,No,Yes
35-44,Female,Tier 2,Business Owner,<20k,Daily,Today,Home Decor|Electronics,Price,5-15,Often,Rare,Buy Immediately,Emotional,Stressed,No,Sometimes,Often,Wellness|Home Decor,Snacks,Evening,Festivals|Sales|Weekends,Snacks+Beverages|Books+Coffee|Gadgets+Accessories,High Price,Quality,Brand,Recommendation,Guilty,Very Comfortable,Irrelevant Recommendations,Low,200,No,No
45+,Female,Tier 1,Student,>1L,Weekly,This Week,Snacks|Home Decor,Price,5-15,Sometimes,Habitual,Modify Cart,Emotional,Stressed,Sometimes,Very Often,Sometimes,Electronics|Wellness|Fashion,Snacks,Evening,Stress,Gadgets+Accessories,Too Many Options,Brand,Price,Recommendation,Happy,Not Comfortable,Privacy,Low,23769,Maybe,No
18-24,Female,Tier 1,Business Owner,50k-1L,Monthly,This Month,Home Decor|Fashion|Wellness,Brand,15-30,Never,Habitual,Check Reviews,Logical,Bored,Yes,Never,Often,Snacks|Electronics|Wellness,Home Decor,Late Night,Stress|Salary,Candles+Oils|Snacks+Beverages|Gadgets+Accessories,High Price,Price,Delivery,Quality,Guilty,Very Comfortable,Privacy,High,12113,Maybe,Maybe
Under 18,Prefer not to say,Tier 1,Other,20k-50k,Rarely,This Week,Wellness|Fashion,Brand,30+,Rarely,Habitual,Check Reviews,Emotional,Happy,Yes,Sometimes,Often,Wellness|Home Decor,Electronics,Afternoon,Salary|Festivals|Sales,Snacks+Beverages|Clothing+Accessories,High Price,Quality,Quality,Emotional Satisfaction,Regretful,Not Comfortable,Misuse,Medium,9429,Yes,No
Under 18,Female,Tier 2,Working Professional,50k-1L,Daily,>1 Month,Snacks,Reviews,5-15,Never,Mostly Planned,Buy Immediately,Emotional,Sad,Yes,Rarely,Often,Snacks|Electronics,Home Decor,Afternoon,Festivals|Sales|Salary,Books+Coffee|Clothing+Accessories|Gadgets+Accessories,Delivery Issues,Personalization,Quality,Emotional Satisfaction,Happy,Somewhat Comfortable,Misuse,Medium,8728,Yes,Yes
25-34,Female,Tier 1,Other,20k-50k,Rarely,>1 Month,Fashion|Home Decor,Recommendations,30+,Rarely,Habitual,Check Reviews,Mixed,Bored,Sometimes,Never,Sometimes,Wellness,Snacks,Morning,Stress,Gadgets+Accessories|Clothing+Accessories,Delivery Issues,Quality,Personalization,Discount,Regretful,Not Comfortable,Irrelevant Recommendations,Medium,1734,Maybe,No
45+,Female,Tier 2,Student,<20k,Daily,Today,Fashion|Wellness|Home Decor,Reviews,5-15,Often,Rare,Buy Immediately,Mixed,Bored,Yes,Rarely,Rarely,Electronics|Home Decor|Fashion,Fashion,Late Night,Weekends|Stress|Sales,Gadgets+Accessories|Clothing+Accessories|Books+Coffee,Just Browsing,Price,Brand,Quality,Neutral,Very Comfortable,Misuse,High,1727,Maybe,No
45+,Prefer not to say,Tier 1,Other,>1L,Rarely,>1 Month,Home Decor|Electronics|Wellness,Recommendations,30+,Often,Habitual,Modify Cart,Emotional,Stressed,Yes,Rarely,Rarely,Fashion|Wellness,Snacks,Evening,Salary,Books+Coffee|Candles+Oils|Snacks+Beverages,Too Many Options,Delivery,Quality,Recommendation,Satisfied,Very Comfortable,No Concerns,Medium,29198,Yes,Yes
18-24,Male,Tier 2,Working Professional,<20k,Weekly,This Month,Fashion,Price,5-15,Rarely,Mostly Planned,Compare Prices,Logical,Neutral,Sometimes,Sometimes,Never,Fashion|Snacks,Wellness,Morning,Weekends|Sales|Stress,Snacks+Beverages|Books+Coffee,Low Trust,Personalization,Price,Discount,Happy,Somewhat Comfortable,No Concerns,High,271,No,Maybe
25-34,Prefer not to say,Tier 2,Business Owner,20k-50k,Rarely,Today,Snacks|Wellness|Home Decor,Discounts,5-15,Often,Rare,Compare Prices,Emotional,Neutral,No,Sometimes,Sometimes,Electronics|Snacks,Home Decor,Morning,Weekends|Sales|Festivals,Candles+Oils,Delivery Issues,Price,Price,Recommendation,Guilty,Not Comfortable,Privacy,High,4734,Maybe,Maybe
45+,Male,Tier 1,Business Owner,20k-50k,Daily,This Week,Home Decor|Wellness|Fashion,Reviews,5-15,Sometimes,Rare,Compare Prices,Logical,Bored,Yes,Very Often,Never,Fashion,Snacks,Late Night,Sales|Salary,Gadgets+Accessories|Clothing+Accessories,Low Trust,Delivery,Brand,Discount,Guilty,Somewhat Comfortable,Irrelevant Recommendations,High,6446,Yes,Yes
Under 18,Prefer not to say,Tier 2,Business Owner,>1L,Rarely,This Week,Fashion|Home Decor,Brand,30+,Never,Rare,Compare Prices,Logical,Neutral,Yes,Rarely,Never,Fashion|Snacks,Fashion,Evening,Salary,Candles+Oils|Books+Coffee|Snacks+Beverages,Just Browsing,Quality,Personalization,Emotional Satisfaction,Guilty,Very Comfortable,No Concerns,Medium,27861,No,Maybe
35-44,Male,Tier 1,Student,20k-50k,Daily,>1 Month,Snacks|Home Decor|Fashion,Discounts,5-15,Sometimes,Rare,Buy Immediately,Emotional,Stressed,No,Rarely,Sometimes,Wellness|Snacks|Home Decor,Wellness,Afternoon,Stress|Weekends|Salary,Gadgets+Accessories,High Price,Delivery,Personalization,Discount,Happy,Somewhat Comfortable,Misuse,Low,2621,Yes,No
Under 18,Female,Tier 3,Other,20k-50k,Weekly,Today,Fashion|Wellness|Electronics,Price,15-30,Sometimes,Mostly Planned,Buy Immediately,Logical,Sad,No,Very Often,Rarely,Electronics|Snacks,Home Decor,Morning,Festivals|Weekends,Books+Coffee,Delivery Issues,Delivery,Delivery,Recommendation,Neutral,Very Comfortable,Irrelevant Recommendations,High,8857,Maybe,Maybe
45+,Male,Tier 1,Homemaker,50k-1L,Monthly,>1 Month,Home Decor|Electronics|Snacks,Price,5-15,Rarely,Habitual,Modify Cart,Logical,Happy,Sometimes,Very Often,Often,Snacks,Wellness,Morning,Stress,Candles+Oils,Low Trust,Delivery,Price,Emotional Satisfaction,Neutral,Not Comfortable,Misuse,High,16128,Yes,No
Under 18,Prefer not to say,Tier 1,Business Owner,>1L,Monthly,Today,Wellness,Recommendations,5-15,Never,Somewhat Planned,Buy Immediately,Emotional,Stressed,Yes,Rarely,Rarely,Wellness|Fashion,Wellness,Morning,Stress|Sales,Snacks+Beverages|Clothing+Accessories|Gadgets+Accessories,Too Many Options,Price,Delivery,Discount,Satisfied,Not Comfortable,Misuse,Low,27013,Yes,No
25-34,Female,Tier 2,Student,20k-50k,Monthly,>1 Month,Home Decor|Snacks|Electronics,Discounts,30+,Often,Somewhat Planned,Modify Cart,Emotional,Bored,Yes,Rarely,Rarely,Wellness|Electronics|Home Decor,Wellness,Late Night,Weekends,Candles+Oils|Gadgets+Accessories,High Price,Personalization,Delivery,Discount,Regretful,Somewhat Comfortable,No Concerns,Medium,3808,Maybe,No
Under 18,Male,Tier 1,Homemaker,<20k,Rarely,>1 Month,Wellness|Snacks|Home Decor,Price,5-15,Sometimes,Habitual,Modify Cart,Mixed,Sad,Sometimes,Sometimes,Often,Wellness|Home Decor|Fashion,Home Decor,Afternoon,Salary|Sales,Candles+Oils|Snacks+Beverages,Delivery Issues,Delivery,Personalization,Discount,Happy,Very Comfortable,Misuse,Low,968,No,Maybe
25-34,Female,Tier 2,Student,50k-1L,Rarely,>1 Month,Home Decor|Wellness|Electronics,Discounts,<5,Rarely,Somewhat Planned,Compare Prices,Mixed,Neutral,Yes,Rarely,Sometimes,Snacks,Fashion,Morning,Weekends,Snacks+Beverages|Gadgets+Accessories,Low Trust,Personalization,Personalization,Quality,Happy,Very Comfortable,Irrelevant Recommendations,Medium,13850,Maybe,No
45+,Prefer not to say,Tier 1,Homemaker,20k-50k,Daily,This Week,Fashion|Home Decor|Wellness,Price,30+,Rarely,Mostly Planned,Buy Immediately,Emotional,Happy,Yes,Sometimes,Never,Snacks|Electronics,Wellness,Evening,Festivals,Gadgets+Accessories,Low Trust,Quality,Delivery,Recommendation,Guilty,Not Comfortable,Misuse,Low,4485,Yes,Yes
45+,Prefer not to say,Tier 3,Working Professional,>1L,Monthly,Today,Fashion,Price,5-15,Never,Mostly Planned,Buy Immediately,Emotional,Bored,Sometimes,Very Often,Often,Home Decor|Fashion|Wellness,Home Decor,Morning,Festivals,Snacks+Beverages|Gadgets+Accessories,Delivery Issues,Quality,Brand,Emotional Satisfaction,Regretful,Not Comfortable,Privacy,Medium,14528,No,No
